stand_id,species_class,variant,cond_id,rank,certainty
60,Douglas-fir,CA,14249,1,0.7393483400835249
60,Douglas-fir,CA,14260,2,0.7340127336706324
60,Douglas-fir,CA,8396,3,0.7339251859013576
60,Douglas-fir,CA,4899,4,0.7317780315250964
11,Douglas-fir,CA,14249,1,0.5717261238903462
11,Douglas-fir,CA,8997,2,0.5673761152042259
11,Douglas-fir,CA,8786,3,0.564728449607647
12,Douglas-fir,CA,14249,1,0.571724211120485
12,Douglas-fir,CA,8997,2,0.5673748161137282
12,Douglas-fir,CA,8786,3,0.5647279299176369
73,Douglas-fir,CA,14249,1,0.885808023516607
73,Douglas-fir,CA,14260,2,0.8747663322043457
73,Red alder,CA,1091,3,0.8587066678569323
73,Douglas-fir,CA,4190,4,0.8568024732136812
61,Douglas-fir,CA,14249,1,0.8858004261846689
61,Douglas-fir,CA,14260,2,0.8747621994003283
61,Red alder,CA,1091,3,0.8587101159807397
61,Douglas-fir,CA,4190,4,0.8568052414022934
3,Douglas-fir,CA,14249,1,0.5717280970182007
3,Douglas-fir,CA,8997,2,0.5673703362561214
3,Douglas-fir,CA,8786,3,0.564728065394497
28,Douglas-fir,CA,14249,1,0.5717271832990884
28,Douglas-fir,CA,8997,2,0.5673691678537726
28,Douglas-fir,CA,8786,3,0.5647273044926913
10,Douglas-fir,CA,14249,1,0.5717262713120269
10,Douglas-fir,CA,8997,2,0.5673694835336628
10,Douglas-fir,CA,8786,3,0.564727386682552
58,Douglas-fir,CA,14249,1,0.739342035976028
58,Douglas-fir,CA,14260,2,0.7340088488367245
58,Douglas-fir,CA,8396,3,0.733926529264064
58,Douglas-fir,CA,4899,4,0.7317724831730346
25,Douglas-fir,CA,14249,1,0.5717267328006493
25,Douglas-fir,CA,8997,2,0.5673729354217292
25,Douglas-fir,CA,8786,3,0.5647287166242447
74,Douglas-fir,CA,14249,1,0.8857008589471551
74,Douglas-fir,CA,14260,2,0.8747357741376043
74,Red alder,CA,1091,3,0.8586461006873695
74,Douglas-fir,CA,4190,4,0.856744689389611
24,Douglas-fir,CA,14249,1,0.571723901510362
24,Douglas-fir,CA,8997,2,0.5673745609739951
24,Douglas-fir,CA,8786,3,0.5647278762834755
4,Pacific madrone,CA,14168,1,0.6752088578591511
4,Douglas-fir,CA,14080,2,0.6697528753921435
4,Douglas-fir,CA,4185,3,0.6691871405521609
14,Douglas-fir,CA,14249,1,0.5717296674190488
14,Douglas-fir,CA,8997,2,0.5673721487595034
14,Douglas-fir,CA,8786,3,0.564728175088443
26,Douglas-fir,CA,14249,1,0.5717271832990884
26,Douglas-fir,CA,8997,2,0.5673691678537726
26,Douglas-fir,CA,8786,3,0.5647273044926913
27,Douglas-fir,CA,14249,1,0.5717263851545791
27,Douglas-fir,CA,8997,2,0.5673708033423435
27,Douglas-fir,CA,8786,3,0.5647279348831011
15,Douglas-fir,CA,14080,1,0.8911530985674105
15,Pacific madrone,CA,14130,2,0.8802362911255757
15,Douglas-fir,CA,14110,3,0.8663943489557719
15,Pacific madrone,CA,7101,4,0.8627909259586503
16,Douglas-fir,CA,14249,1,0.5717274161433399
16,Douglas-fir,CA,8997,2,0.567372749165338
16,Douglas-fir,CA,8786,3,0.5647293116150607
23,Douglas-fir,CA,14249,1,0.5717249554272661
23,Douglas-fir,CA,8997,2,0.5673754691995009
23,Douglas-fir,CA,8786,3,0.5647296718914872
22,Douglas-fir,CA,14080,1,0.8912750091560405
22,Pacific madrone,CA,14130,2,0.8803732157323191
22,Douglas-fir,CA,14110,3,0.8664584904481237
22,Pacific madrone,CA,7101,4,0.86287341158344
20,Douglas-fir,CA,14249,1,0.5717290274411322
20,Douglas-fir,CA,8997,2,0.5673717658087982
20,Douglas-fir,CA,8786,3,0.5647287868510584
19,Douglas-fir,CA,14249,1,0.571730219774561
19,Douglas-fir,CA,8997,2,0.5673745245947945
19,Douglas-fir,CA,8786,3,0.5647298438855943
18,Douglas-fir,CA,14249,1,0.5717256086055504
18,Douglas-fir,CA,8997,2,0.5673769732156754
18,Douglas-fir,CA,8786,3,0.5647295798825716
9,Douglas-fir,CA,14249,1,0.5717280599084014
9,Douglas-fir,CA,8997,2,0.567372305615109
9,Douglas-fir,CA,8786,3,0.564729565930364
13,Pacific madrone,CA,14168,1,0.6752074195971971
13,Douglas-fir,CA,14080,2,0.6697476384939904
13,Douglas-fir,CA,4185,3,0.6691824631194554
63,Douglas-fir,CA,14249,1,0.8856687490264908
63,Douglas-fir,CA,14260,2,0.8747209907025563
63,Red alder,CA,1091,3,0.8586333817271028
63,Douglas-fir,CA,4190,4,0.8567310565347144
17,Pacific madrone,CA,14168,1,0.6752077293515466
17,Douglas-fir,CA,14080,2,0.6697461398959395
17,Douglas-fir,CA,4185,3,0.6691822570569286
21,Pacific madrone,CA,14168,1,0.6752079533835672
21,Douglas-fir,CA,14080,2,0.669748901466868
21,Douglas-fir,CA,4185,3,0.6691838079742566
59,Douglas-fir,CA,7279,1,0.8107461301970998
59,California-laurel,CA,4450,2,0.8094930715186647
2,Douglas-fir,CA,14249,1,0.5717263365420807
2,Douglas-fir,CA,8997,2,0.5673650767985956
2,Douglas-fir,CA,8786,3,0.5647230772741281
5,Pacific madrone,CA,14168,1,0.6752073394296676
5,Douglas-fir,CA,14080,2,0.6697497361877947
5,Douglas-fir,CA,4185,3,0.6691831939018696
6,Pacific madrone,CA,14168,1,0.6752084165714438
6,Douglas-fir,CA,14080,2,0.6697509546583023
6,Douglas-fir,CA,4185,3,0.6691856090076266
7,Pacific madrone,CA,14168,1,0.6751377168774992
7,Douglas-fir,CA,14080,2,0.6696507518247674
7,Douglas-fir,CA,4185,3,0.6690866196760867
8,Pacific madrone,CA,14168,1,0.6752093773279074
8,Douglas-fir,CA,14080,2,0.669753862586999
8,Douglas-fir,CA,4185,3,0.6691889533846154
1,Douglas-fir,CA,14080,1,0.8908544540244686
1,Pacific madrone,CA,14130,2,0.8803573084889327
1,Douglas-fir,CA,14110,3,0.8662274037423332
1,Pacific madrone,CA,7101,4,0.8628625106881543
139,Lodgepole pine,CA,8410,1,0.8729384975190185
139,Lodgepole pine,CA,3782,2,0.8624278840446922
139,Lodgepole pine,CA,4311,3,0.8500989353854121
139,Lodgepole pine,CA,4324,4,0.8331363009976324
158,Douglas-fir,CA,7279,1,0.8168426149306188
158,California-laurel,CA,4450,2,0.8143834603683724
161,Lodgepole pine,CA,8410,1,0.8729009984280945
161,Lodgepole pine,CA,3782,2,0.8622950805889879
161,Lodgepole pine,CA,4311,3,0.8500863897396257
161,Lodgepole pine,CA,4324,4,0.8331905696546541
167,Douglas-fir,CA,7279,1,0.8164660328605688
167,California-laurel,CA,4450,2,0.8142107441651335
166,Lodgepole pine,CA,8410,1,0.8728822490361974
166,Lodgepole pine,CA,3782,2,0.8623095496307918
166,Lodgepole pine,CA,4311,3,0.8500576344935189
166,Lodgepole pine,CA,4324,4,0.8331441330967704
169,Lodgepole pine,CA,8410,1,0.8729401012338407
169,Lodgepole pine,CA,3782,2,0.8623498568036724
169,Lodgepole pine,CA,4311,3,0.8501517504081225
169,Lodgepole pine,CA,4324,4,0.8332868843241792
149,Douglas-fir,CA,7279,1,0.8168424987866655
149,California-laurel,CA,4450,2,0.8143740482659385
154,Lodgepole pine,CA,8410,1,0.8728353529437807
154,Lodgepole pine,CA,3782,2,0.8624260852788762
154,Lodgepole pine,CA,4311,3,0.8500251965855474
154,Lodgepole pine,CA,4324,4,0.833139342891775
153,Douglas-fir,CA,7279,1,0.8168367815822897
153,California-laurel,CA,4450,2,0.8143612525824284
159,California-laurel,CA,4450,1,0.6532421536421138
159,Douglas-fir,CA,7279,2,0.6525292949250158
144,Douglas-fir,CA,14249,1,0.8856401542037039
144,Douglas-fir,CA,14260,2,0.8745415813627071
144,Red alder,CA,1091,3,0.8587071477756443
144,Douglas-fir,CA,4190,4,0.8568597683504589
143,Douglas-fir,CA,14249,1,0.8856703554693279
143,Douglas-fir,CA,14260,2,0.8745909686995169
143,Red alder,CA,1091,3,0.858720221370915
143,Douglas-fir,CA,4190,4,0.8568726413264316
162,Douglas-fir,CA,14249,1,0.8855255761459943
162,Douglas-fir,CA,14260,2,0.8744240736520801
