Condition ID,Variant,Blacklist Reason
3,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
2050,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
2675,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
2803,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
3389,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
3922,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
3996,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4217,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4218,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4224,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4419,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4453,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4560,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4587,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4613,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4699,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4707,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4779,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4795,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4796,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4810,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4834,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4835,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4840,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4869,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4871,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4896,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4897,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
4975,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5037,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5076,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5108,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5137,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5176,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5181,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5582,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
5843,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6215,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6265,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6319,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6325,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6326,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6334,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6365,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6379,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6435,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6485,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6527,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6532,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6613,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6642,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6758,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6759,EC,FVS10 Error: Option/Activity Storage Area is full; request is ignored
6938,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7006,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7020,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7093,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7281,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7483,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7492,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7575,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7809,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7844,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7881,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7898,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7978,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
7979,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8064,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8158,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8213,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8244,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8321,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8414,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8433,CA,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8445,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8479,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8488,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8582,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8605,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8612,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8615,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8634,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8670,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8672,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8681,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8704,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
8705,SO,FVS10 Error: Option/Activity Storage Area is full; request is ignored
